waktu,ax,ay,az,mean,rms,,label,,timestamp
5/4/2026 10:38,-0.36,0.2,0.83,0.22,0.53,,1,,"10.173.63.72 - - [04/May/2026 10:38:40] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:38,-0.86,0.88,0.91,0.31,0.88,,1,,"10.173.63.72 - - [04/May/2026 10:38:42] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:38,-0.88,0.17,0.98,0.09,0.77,,1,,"10.173.63.72 - - [04/May/2026 10:38:44] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:38,0.67,0.16,1.1,0.64,0.75,,1,,"10.173.63.72 - - [04/May/2026 10:38:47] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:38,0.56,-0.79,0.98,0.25,0.8,,1,,"10.173.63.72 - - [04/May/2026 10:38:49] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:38,-0.98,0.08,1.15,0.08,0.87,,1,,"10.173.63.72 - - [04/May/2026 10:38:52] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:38,0.58,-0.7,1.1,0.33,0.82,,1,,"10.173.63.72 - - [04/May/2026 10:38:54] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:38,0.76,0.77,1.13,0.89,0.9,,1,,"10.173.63.72 - - [04/May/2026 10:38:56] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:38,-0.65,-0.45,0.8,-0.1,0.65,,1,,"10.173.63.72 - - [04/May/2026 10:38:59] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,0.27,0.76,0.93,0.65,0.71,,1,,"10.173.63.72 - - [04/May/2026 10:39:01] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,0.04,0.77,0.91,0.57,0.69,,1,,"10.173.63.72 - - [04/May/2026 10:39:04] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,-0.08,-0.55,1.08,0.15,0.7,,1,,"10.173.63.72 - - [04/May/2026 10:39:06] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,-0.88,-0.63,0.91,-0.2,0.82,,1,,"10.173.63.72 - - [04/May/2026 10:39:09] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,-0.37,-0.88,0.83,-0.14,0.73,,1,,"10.173.63.72 - - [04/May/2026 10:39:11] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,0.34,-0.07,0.81,0.36,0.51,,1,,"10.173.63.72 - - [04/May/2026 10:39:14] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,-0.55,0.09,1.1,0.21,0.71,,1,,"10.173.63.72 - - [04/May/2026 10:39:16] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,0.39,0.08,1.12,0.53,0.69,,1,,"10.173.63.72 - - [04/May/2026 10:39:19] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,-0.05,0.85,1.11,0.64,0.81,,1,,"10.173.63.72 - - [04/May/2026 10:39:21] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,0.33,0.29,1.15,0.59,0.71,,1,,"10.173.63.72 - - [04/May/2026 10:39:24] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,0,-0.74,0.94,0.07,0.69,,1,,"10.173.63.72 - - [04/May/2026 10:39:26] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,-0.88,-0.4,1.09,-0.06,0.84,,1,,"10.173.63.72 - - [04/May/2026 10:39:29] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,-0.85,-0.21,1.1,0.01,0.81,,1,,"10.173.63.72 - - [04/May/2026 10:39:31] ""POST /dataset HTTP/1.1"" 200 -"
5/4/2026 10:39,0.64,0.31,0.94,0.63,0.68,,1,,"10.173.63.72 - - [04/May/2026 10:39:33] ""POST /dataset HTTP/1.1"" 200 -"
